rank;title;revenue;ceo;title;sector;industry;hq;website;years;employees
1;Walmart;$485,873;NA;NA;NA;NA;NA;NA;NA;NA;
2;Berkshire Hathaway;$223,604;NA;NA;NA;NA;NA;NA;NA;NA;
3;Apple;$215,639;NA;NA;NA;NA;NA;NA;NA;NA;
4;Exxon Mobil;$205,004;NA;NA;NA;NA;NA;NA;NA;NA;
5;McKesson;$192,487;NA;NA;NA;NA;NA;NA;NA;NA;
6;UnitedHealth Group;$184,840;NA;NA;NA;NA;NA;NA;NA;NA;
7;CVS Health;$177,526;NA;NA;NA;NA;NA;NA;NA;NA;
8;General Motors;$166,380;NA;NA;NA;NA;NA;NA;NA;NA;
9;AT&T;$163,786;NA;NA;NA;NA;NA;NA;NA;NA;
10;Ford Motor;$151,800;NA;NA;NA;NA;NA;NA;NA;NA;
11;AmerisourceBergen;$146,850;NA;NA;NA;NA;NA;NA;NA;NA;
12;Amazon.com;$135,987;NA;NA;NA;NA;NA;NA;NA;NA;
13;General Electric;$126,661;NA;NA;NA;NA;NA;NA;NA;NA;
14;Verizon Communications;$125,980;NA;NA;NA;NA;NA;NA;NA;NA;
15;Cardinal Health;$121,546;NA;NA;NA;NA;NA;NA;NA;NA;
16;Costco;$118,719;NA;NA;NA;NA;NA;NA;NA;NA;
17;Walgreens Boots Alliance;$117,351;NA;NA;NA;NA;NA;NA;NA;NA;
18;Kroger;$115,337;NA;NA;NA;NA;NA;NA;NA;NA;
19;Chevron;$107,567;NA;NA;NA;NA;NA;NA;NA;NA;
20;Fannie Mae;$107,162;NA;NA;NA;NA;NA;NA;NA;NA;
21;J.P. Morgan Chase;$105,486;NA;NA;NA;NA;NA;NA;NA;NA;
22;Express Scripts Holding;$100,288;NA;NA;NA;NA;NA;NA;NA;NA;
23;Home Depot;$94,595;NA;NA;NA;NA;NA;NA;NA;NA;
24;Boeing;$94,571;NA;NA;NA;NA;NA;NA;NA;NA;
25;Wells Fargo;$94,176;NA;NA;NA;NA;NA;NA;NA;NA;
26;Bank of America Corp.;$93,662;NA;NA;NA;NA;NA;NA;NA;NA;
27;Alphabet;$90,272;NA;NA;NA;NA;NA;NA;NA;NA;
28;Microsoft;$85,320;NA;NA;NA;NA;NA;NA;NA;NA;
29;Anthem;$84,863;NA;NA;NA;NA;NA;NA;NA;NA;
30;Citigroup;$82,386;NA;NA;NA;NA;NA;NA;NA;NA;
31;Comcast;$80,403;NA;NA;NA;NA;NA;NA;NA;NA;
32;IBM;$79,919;NA;NA;NA;NA;NA;NA;NA;NA;
33;State Farm Insurance Cos.;$76,132;NA;NA;NA;NA;NA;NA;NA;NA;
34;Phillips 66;$72,396;NA;NA;NA;NA;NA;NA;NA;NA;
35;Johnson & Johnson;$71,890;NA;NA;NA;NA;NA;NA;NA;NA;
36;Procter & Gamble;$71,726;NA;NA;NA;NA;NA;NA;NA;NA;
37;Valero Energy;$70,166;NA;NA;NA;NA;NA;NA;NA;NA;
38;Target;$69,495;NA;NA;NA;NA;NA;NA;NA;NA;
39;Freddie Mac;$65,665;NA;NA;NA;NA;NA;NA;NA;NA;
40;Lowe’s;$65,017;NA;NA;NA;NA;NA;NA;NA;NA;
41;Dell Technologies;$64,806;NA;NA;NA;NA;NA;NA;NA;NA;
42;MetLife;$63,476;NA;NA;NA;NA;NA;NA;NA;NA;
43;Aetna;$63,155;NA;NA;NA;NA;NA;NA;NA;NA;
44;PepsiCo;$62,799;NA;NA;NA;NA;NA;NA;NA;NA;
45;Archer Daniels Midland;$62,346;NA;NA;NA;NA;NA;NA;NA;NA;
46;UPS;$60,906;NA;NA;NA;NA;NA;NA;NA;NA;
47;Intel;$59,387;NA;NA;NA;NA;NA;NA;NA;NA;
48;Prudential Financial;$58,779;NA;NA;NA;NA;NA;NA;NA;NA;
49;Albertsons Cos.;$58,734;NA;NA;NA;NA;NA;NA;NA;NA;
50;United Technologies;$57,244;NA;NA;NA;NA;NA;NA;NA;NA;
51;Marathon Petroleum;$55,858;NA;NA;NA;NA;NA;NA;NA;NA;
52;Disney;$55,632;NA;NA;NA;NA;NA;NA;NA;NA;
53;Humana;$54,379;NA;NA;NA;NA;NA;NA;NA;NA;
54;Pfizer;$52,824;NA;NA;NA;NA;NA;NA;NA;NA;
55;AIG;$52,367;NA;NA;NA;NA;NA;NA;NA;NA;
56;Lockheed Martin;$50,658;NA;NA;NA;NA;NA;NA;NA;NA;
57;Sysco;$50,367;NA;NA;NA;NA;NA;NA;NA;NA;
58;FedEx;$50,365;NA;NA;NA;NA;NA;NA;NA;NA;
59;Hewlett Packard Enterprise;$50,123;NA;NA;NA;NA;NA;NA;NA;NA;
60;Cisco Systems;$49,247;NA;NA;NA;NA;NA;NA;NA;NA;
61;HP;$48,238;NA;NA;NA;NA;NA;NA;NA;NA;
62;Dow Chemical;$48,158;NA;NA;NA;NA;NA;NA;NA;NA;
63;HCA Holdings;$44,747;NA;NA;NA;NA;NA;NA;NA;NA;
64;Coca-Cola;$41,863;NA;NA;NA;NA;NA;NA;NA;NA;
65;New York Life Insurance;$40,787;NA;NA;NA;NA;NA;NA;NA;NA;
66;Centene;$40,721;NA;NA;NA;NA;NA;NA;NA;NA;
67;American Airlines Group;$40,180;NA;NA;NA;NA;NA;NA;NA;NA;
68;Nationwide;$40,074;NA;NA;NA;NA;NA;NA;NA;NA;
69;Merck;$39,807;NA;NA;NA;NA;NA;NA;NA;NA;
70;Cigna;$39,668;NA;NA;NA;NA;NA;NA;NA;NA;
71;Delta Air Lines;$39,639;NA;NA;NA;NA;NA;NA;NA;NA;
72;Best Buy;$39,403;NA;NA;NA;NA;NA;NA;NA;NA;
73;Honeywell International;$39,302;NA;NA;NA;NA;NA;NA;NA;NA;
74;Caterpillar;$38,537;NA;NA;NA;NA;NA;NA;NA;NA;
75;Liberty Mutual Insurance Group;$38,308;NA;NA;NA;NA;NA;NA;NA;NA;
76;Morgan Stanley;$37,949;NA;NA;NA;NA;NA;NA;NA;NA;
77;Massachusetts Mutual Life Insurance;$37,788;NA;NA;NA;NA;NA;NA;NA;NA;
78;Goldman Sachs Group;$37,712;NA;NA;NA;NA;NA;NA;NA;NA;
79;Energy Transfer Equity;$37,504;NA;NA;NA;NA;NA;NA;NA;NA;
80;TIAA;$37,105;NA;NA;NA;NA;NA;NA;NA;NA;
81;Oracle;$37,047;NA;NA;NA;NA;NA;NA;NA;NA;
82;Tyson Foods;$36,881;NA;NA;NA;NA;NA;NA;NA;NA;
83;United Continental Holdings;$36,556;NA;NA;NA;NA;NA;NA;NA;NA;
84;Allstate;$36,534;NA;NA;NA;NA;NA;NA;NA;NA;
85;Publix Super Markets;$34,274;NA;NA;NA;NA;NA;NA;NA;NA;
86;American Express;$33,823;NA;NA;NA;NA;NA;NA;NA;NA;
87;TJX;$33,184;NA;NA;NA;NA;NA;NA;NA;NA;
88;Nike;$32,376;NA;NA;NA;NA;NA;NA;NA;NA;
89;Exelon;$31,360;NA;NA;NA;NA;NA;NA;NA;NA;
90;General Dynamics;$31,353;NA;NA;NA;NA;NA;NA;NA;NA;
91;Rite Aid;$30,737;NA;NA;NA;NA;NA;NA;NA;NA;
92;Gilead Sciences;$30,390;NA;NA;NA;NA;NA;NA;NA;NA;
93;CHS;$30,347;NA;NA;NA;NA;NA;NA;NA;NA;
94;3M;$30,109;NA;NA;NA;NA;NA;NA;NA;NA;
95;Time Warner;$29,318;NA;NA;NA;NA;NA;NA;NA;NA;
96;Charter Communications;$29,003;NA;NA;NA;NA;NA;NA;NA;NA;
97;Northwestern Mutual;$28,799;NA;NA;NA;NA;NA;NA;NA;NA;
98;Facebook;$27,638;NA;NA;NA;NA;NA;NA;NA;NA;
99;Travelers Cos.;$27,625;NA;NA;NA;NA;NA;NA;NA;NA;
100;Capital One Financial;$27,519;NA;NA;NA;NA;NA;NA;NA;NA;
101;Twenty-First Century Fox;$27,326;NA;NA;NA;NA;NA;NA;NA;NA;
102;USAA;$27,131;NA;NA;NA;NA;NA;NA;NA;NA;
103;World Fuel Services;$27,016;NA;NA;NA;NA;NA;NA;NA;NA;
104;Philip Morris International;$26,685;NA;NA;NA;NA;NA;NA;NA;NA;
105;Deere;$26,644;NA;NA;NA;NA;NA;NA;NA;NA;
106;Kraft Heinz;$26,487;NA;NA;NA;NA;NA;NA;NA;NA;
107;Tech Data;$26,235;NA;NA;NA;NA;NA;NA;NA;NA;
108;Avnet;$26,219;NA;NA;NA;NA;NA;NA;NA;NA;
109;Mondelez International;$25,923;NA;NA;NA;NA;NA;NA;NA;NA;
110;Macy’s;$25,778;NA;NA;NA;NA;NA;NA;NA;NA;
111;AbbVie;$25,638;NA;NA;NA;NA;NA;NA;NA;NA;
112;McDonald’s;$24,622;NA;NA;NA;NA;NA;NA;NA;NA;
113;DuPont;$24,594;NA;NA;NA;NA;NA;NA;NA;NA;
114;Northrop Grumman;$24,508;NA;NA;NA;NA;NA;NA;NA;NA;
115;ConocoPhillips;$24,360;NA;NA;NA;NA;NA;NA;NA;NA;
116;Raytheon;$24,069;NA;NA;NA;NA;NA;NA;NA;NA;
117;Andeavor;$24,005;NA;NA;NA;NA;NA;NA;NA;NA;
118;Arrow Electronics;$23,825;NA;NA;NA;NA;NA;NA;NA;NA;
119;Qualcomm;$23,554;NA;NA;NA;NA;NA;NA;NA;NA;
120;Progressive;$23,441;NA;NA;NA;NA;NA;NA;NA;NA;
121;Duke Energy;$23,369;NA;NA;NA;NA;NA;NA;NA;NA;
122;Enterprise Products Partners;$23,022;NA;NA;NA;NA;NA;NA;NA;NA;
123;Amgen;$22,991;NA;NA;NA;NA;NA;NA;NA;NA;
124;US Foods Holding;$22,919;NA;NA;NA;NA;NA;NA;NA;NA;
125;U.S. Bancorp;$22,744;NA;NA;NA;NA;NA;NA;NA;NA;
126;Aflac;$22,559;NA;NA;NA;NA;NA;NA;NA;NA;
127;Sears Holdings;$22,138;NA;NA;NA;NA;NA;NA;NA;NA;
128;Dollar General;$21,987;NA;NA;NA;NA;NA;NA;NA;NA;
129;AutoNation;$21,609;NA;NA;NA;NA;NA;NA;NA;NA;
130;Community Health Systems;$21,374;NA;NA;NA;NA;NA;NA;NA;NA;
131;Starbucks;$21,316;NA;NA;NA;NA;NA;NA;NA;NA;
132;Eli Lilly;$21,222;NA;NA;NA;NA;NA;NA;NA;NA;
133;International Paper;$21,079;NA;NA;NA;NA;NA;NA;NA;NA;
134;Tenet Healthcare;$21,070;NA;NA;NA;NA;NA;NA;NA;NA;
135;Abbott Laboratories;$20,853;NA;NA;NA;NA;NA;NA;NA;NA;
136;Dollar Tree;$20,719;NA;NA;NA;NA;NA;NA;NA;NA;
137;Whirlpool;$20,718;NA;NA;NA;NA;NA;NA;NA;NA;
138;Southwest Airlines;$20,425;NA;NA;NA;NA;NA;NA;NA;NA;
139;Emerson Electric;$20,268;NA;NA;NA;NA;NA;NA;NA;NA;
140;Staples;$20,217;NA;NA;NA;NA;NA;NA;NA;NA;
141;Plains GP Holdings;$20,182;NA;NA;NA;NA;NA;NA;NA;NA;
142;Penske Automotive Group;$20,143;NA;NA;NA;NA;NA;NA;NA;NA;
143;Union Pacific;$19,941;NA;NA;NA;NA;NA;NA;NA;NA;
144;Danaher;$19,912;NA;NA;NA;NA;NA;NA;NA;NA;
145;Southern;$19,896;NA;NA;NA;NA;NA;NA;NA;NA;
146;ManpowerGroup;$19,654;NA;NA;NA;NA;NA;NA;NA;NA;
147;Bristol-Myers Squibb;$19,427;NA;NA;NA;NA;NA;NA;NA;NA;
148;Altria Group;$19,337;NA;NA;NA;NA;NA;NA;NA;NA;
149;Fluor;$19,037;NA;NA;NA;NA;NA;NA;NA;NA;
150;Kohl’s;$18,686;NA;NA;NA;NA;NA;NA;NA;NA;
151;Lear;$18,558;NA;NA;NA;NA;NA;NA;NA;NA;
152;Jabil;$18,353;NA;NA;NA;NA;NA;NA;NA;NA;
